İLAN ADI;MAHALLE;FİYAT;NET(m²);BRÜT(m²);ODA-SALON SAYISI;ODA SAYISI;SALON SAYISI;BANYO SAYISI;FOTOĞRAF SAYISI
GÖSTEPEDE YENİ BİNADA 3+1 95 M2 NET FUL İÇİ YENİ SATILIK DAİRE;Göztepe;4.650.000;95;135;3+1;3;1;1;27
BOSTANCIDA 3+1 95 M2 NET 3 YILLIK BİNADA EBEVEYN BANYOLU;Bostancı;3.695.000;95;115;3+1;3;1;2;21
UTKU'DAN FENERYOLU'NDA 3 YILLIK YENİ BİNADA 2+1 65M2 NET;Feneryolu;2.650.000;65;85;2+1;2;1;1;30
UTKU'DAN TEK YETKİLİ! ERENKÖY'DE 130m2 Net 3+1 3 BALKONLU;Erenköy;3.100.000;130;165;3+1;3;1;2;26
UTKU'DAN TEK YETKİLİ ! BOSTANCIDA GENİŞ 3+1 BALKONLU EBEVEYNLİ !;Bostancı;3.650.000;105;135;3+1;3;1;2;41
UTKU'DAN SUADİYE'DE YENİ BİNADA 3+1 BALKONLU EBEVEYNLİ DAİRE !!;Suadiye;4.200.000;100;140;3+1;3;1;2;21
UTKU'DAN CADDEBOSTAN SAHİLDE 3+1 YENİ BİNADA KOMBİLİ !!;Caddebostan;4.500.000;80;115;3+1;3;1;2;26
UTKU'DAN ŞAŞKINBAKKAL SAHİLDE 122m2 NET 3+1 GENİŞ BALKONLU !!;Suadiye;9.595.000;122;165;3+1;3;1;2;33
UTKU'DAN SUADİYE ZARAYA YAKIN YENİ BİNADA 120m2 NET 3+1 BALKONLU;Suadiye;5.950.000;120;150;3+1;3;1;2;21
UTKU'DAN ERENKÖY'DE SIFIR BİNADA 3+1 EBEVEYN BANYOLU BALKONLU !;Erenköy;3.950.000;95;135;3+1;3;1;2;38
UTKU'DAN FENERBAHÇE'DE GENİŞ 3+1 KAPALI OTOPARKLI PRESTİJLİ BİNA;Fenerbahçe;5.675.000;120;150;3+1;3;1;1;25
UTKU'DAN SUADİYE SAHİLDE 200m2 4+1 MASRAFSIZ KATTA TEK FIRSATI !;Suadiye;7.800.000;180;240;4+1;4;1;3;36
UTKU'DAN DİVANIN SOKAĞINDA 140m2 3+1 YENİ BİNADA KOMBİLİ DAİRE !;Erenköy;4.850.000;105;140;3+1;3;1;2;33
FENERYOLUNDA 3+1 KOMPLE TADİLAT GÖRMÜŞ TERTEMİZ ÖN DAİRE;Feneryolu;3.595.000;135;165;3+1;3;1;2;24
ERENKÖY'DE 160M2 BALKONLU GENİŞ ULTRA LÜKS DAİRE;Erenköy;3.495.000;130;160;3+1;3;1;2;23
CENTURY 21.SAHRA'DAN FULL DENİZ MAN. İÇİ YAPILI 133M2 NET 3+1;Bostancı;4.650.000;133;160;3+1;3;1;2;26
Dinamik'ten Göztepe Rıdvanpaşada 125 M2 Net Özel Dekorasyonlu 3+;Göztepe;4.295.000;125;145;3+1;3;1;2;
ERENKÖY BAĞDATA YAKIN SIFIR 135M2 BALKONLU LÜKS;Erenköy;4.850.000;105;135;3+1;3;1;2;19
Kalamış Parkına Yakın Sıfır Binada Satılık Daire;Zühtüpaşa;4.000.000;88;110;2+1;2;1;1;19
Caddebostan Tanzimat Sokak Bağdat Caddesi 7. Bina 3+1 Kombili;Caddebostan;4.400.000;107;140;3+1;3;1;2;18
GÖZTEPE MERKEZDE İÇİ YAPILI BALKONLU EBEVEYN BANYOLU SATILIK 3+1;Göztepe;3.100.000;125;165;3+1;3;1;2;26
Ada manzaralı bir dairede mi oturmak istiyorsunuz?;Bostancı;4.450.000;150;175;3+1;3;1;1;34
Dinamik'ten Fenerbahçe'de Sahil'de Balkonlu Geniş 3+1;Fenerbahçe;5.450.000;120;150;3+1;3;1;2;25
Dinamik'ten Feneryolun'da Parka Yakın Bakımlı Binada Geniş 3+1;Feneryolu;2.850.000;115;150;3+1;3;1;1;25
Dinamik'ten Göztepe'de Caddeye 3.Bina Geniş 4+1 Katta Tek;Göztepe;4.950.000;135;160;4+1;4;1;2;27
Dinamik'ten Feneryolun'da Bağdat Caddesine Yakın Geniş 3+1 Daire;Feneryolu;4.495.000;130;150;3+1;3;1;2;36
UTKU'DAN CADDEBOSTAN SAHİLDE YENİ BİNADA 3+1 BALKONLU SATILIK !!;Caddebostan;5.300.000;95;130;3+1;3;1;2;16
UTKU'DAN ERENKÖY ETHEMEFENDİ'DE 125m2 NET 3+1 YENİ BİNADA !!;Erenköy;5.750.000;125;155;3+1;3;1;2;14
MTS PRIME EMLAK-DENİZ MANZARALI-KATTA TEK;Fenerbahçe;12.250.000;150;210;4+1;4;1;2;14
MTS PRIME EMLAK-MANZARALI-GÜVENLİKLİ;Suadiye;12.850.000;340;380;4+2;4;2;3;14
FENERBAHÇE'DE 8 YILLIK YENİ 155M2 GÜVENLİKLİ LÜKS;Fenerbahçe;7.350.000;125;155;3+1;3;1;2;12
Kalamış'ın kalbinde hem huzur hem neş'e..;Fenerbahçe;6.900.000;105;130;3+1;3;1;2;34
UTKU'DAN ERENKÖY'DE MARMARAYA YAKIN KONUMDA 2+1 AÇIK MUTFAKLI !;Erenköy;2.750.000;80;100;2+1;2;1;1;13
C.BOSTAN BAĞDATA YAKIN 4 YILLIK 140M2 GÜVENLİKLİ REZİDENS;Caddebostan;5.195.000;118;140;3+1;3;1;2;9
MTS PRIME EMLAK-SAHİL TARAFINDA;Caddebostan;6.500.000;240;280;4+1;4;1;3;12
ŞAŞKNBAKKAL IN KALBİ NOTER SOKAK 135 net 3+1 SATILIK;Suadiye;4.890.000;135;185;3+1;3;1;2;31
MTS PRIME EMLAK-YENİLENMİŞ-CADDEYE 2 ADIM;Suadiye;4.275.000;110;150;3+1;3;1;2;8
UTKU'DAN ERENKÖY'DE PROJEDEN GERÇEK 83m2 NET 3+1 FIRSATTIR !;Erenköy;2.950.000;83;115;3+1;3;1;2;6
Fenerbahçe Kalamış Deniz Marina Manzaralı Balkonlu 4+1 Satılık;Fenerbahçe;9.800.000;140;180;4+1;4;1;1;28
CİTY'DEN KAÇIRMAYIN. BAĞDATA 100MT;Feneryolu;3.350.000;85;120;2+1;2;1;2;20
Kalamış Wyndham Otel Karşı Sokak İçinde 3+1 Satılık;Fenerbahçe;6.500.000;110;145;3+1;3;1;2;26
GÖZTEPE MİNİBÜSE YAKIN 90M2 TERASLI EBEVEYNLİ YENİ 140M2 3+1;Merdivenköy;3.140.000;100;140;3+1;3;1;2;26
KOZYATAĞI MÜKEMMEL LOKASYONDA KÖŞE DAİRE ARAKAT MANZARALI 3+1;Kozyatağı;2.750.000;103;168;3+1;3;1;2;25
ERENKÖY MARMARAY VE BAĞDATA ADIM MESAFEDE  YENİLENMİŞ 160M2 3+1;Erenköy;5.750.000;115;160;3+1;3;1;2;26
Feneryolu Balkonlu Kombili 3+1 Satılık Daire;Feneryolu;4.300.000;122;155;3+1;3;1;2;24
SUADİYE KAPANMAZ DENİZ MANZARALI 5+2 DUBLEX;Suadiye;9.000.000;250;280;5+2;5;2;3;11
Göztepe'de 2+1 90 m2 Net Satılık Daire Kombili Balkonlu Depolu;Göztepe;3.325.000;90;110;2+1;2;1;1;25
BAĞDAT CADDESİ SUADİYE SAHİL PARSELİNDE ŞAHANE KONUMDA 3+1;Suadiye;6.600.000;82;110;3+1;3;1;2;14
19 MAYIS MAH. MERKEZİ KONUMDA DOĞALGAZ KOMBİ ISITMALI 3+1 DAİRE;19 Mayıs;2.200.000;100;123;3+1;3;1;1;12
CADDEBOSTAN SAHİLDE 220M2 BALKONLU ULTRA LÜKS;Caddebostan;8.900.000;180;220;4+1;4;1;2;30
CADDEBOSTAN SAHİLDE SIFIR 145M2 MANZARALI KATTA TEK;Caddebostan;7.595.000;110;145;3+1;3;1;2;23
KALAMIŞ MARİNAYA YAKIN 7 YILLIK 125M2 ULTRA LÜKS;Fenerbahçe;3.950.000;90;125;3+1;3;1;2;22
SUADİYE DE SAHİLE 1 DKK YÜRÜME MESAFESİNDE YENİ BİNADA ULTRA LUX;Suadiye;6.500.000;107;140;3+1;3;1;2;28
Fenerbahçe Güney Cepheli Önü Açık Kahve Dünyasına Yakın;Fenerbahçe;7.950.000;112;145;3+1;3;1;2;26
FENERBAHÇE'DE DİNAMİK'TEN YÜKSEK GİRİŞ KATTA 3+1 SATILIK DAİRE;Fenerbahçe;3.950.000;100;130;3+1;3;1;2;30
CADDEBOSTAN'DA BAĞDAT CADDESİNE YAKIN NET 150 M2 4+1 DAİRE;Caddebostan;7.000.000;150;180;4+1;4;1;2;36
KOZYATAĞINDA YENİ SIFIR DUBLEKS DAİRE 200 M2;Kozyatağı;5.250.000;170;200;5+1;5;1;2;20
SUADİYE OTELİNE KOMŞU SAHİLDE BAHÇE KULLANIMLI GİRİŞ KATI;Suadiye;6.000.000;85;120;3+1;3;1;2;17
Fenerbahçe Ayanoğlu Ordu Evi Yakın Katta Tek Kapalı Otopark;Fenerbahçe;7.000.000;175;225;3+1;3;1;1;17
Çiftehavuzlar Sahil Büyük Kulüp Yakın Balkon 4+1 Sıfır Satılık;Fenerbahçe;6.850.000;165;247;4+1;4;1;2;17
ERENKÖY MİNİBÜS CADDESİ ÜZERİ SIFIR 135M2 BALKONLU LÜKS;Erenköy;4.790.000;105;135;3+1;3;1;2;16
KORU MANZARA IŞIK KOLEJİ YANI MUHTEŞEM LOKASYON YENİ DAİRE;19 Mayıs;3.600.000;80;100;2+1;2;1;1;9
CİTY DEN ERENKÖY İSTASYON CAD. FULL YAPILI FERAH 160m2 3+1;Erenköy;3.495.000;130;160;3+1;3;1;3;22
ÇİFTEHAVUZLAR BAĞDAT CADDESİ ÜZERİNDE 4+1 SATILIK SIFIR DAİRE;Göztepe;8.500.000;160;180;4+1;4;1;2;3
FENERYOLU BAĞDAT VE 26 MART PARKINA ADIM MESAFEDE 105M2 2+1;Feneryolu;2.690.000;75;105;2+1;2;1;1;22
CİTY DEN ERENKÖY ETHEMEFENDİ CAD. KOMŞU MASRAFSIZ 135m2 3+1;Erenköy;2.950.000;90;135;3+1;3;1;2;19
BOSTANCI ALİ NİHAT TARLAN CD ÜZERİ 3 YAŞINDA EBEVEYNLİ 140M2 3+1;Bostancı;3.695.000;100;140;3+1;3;1;2;24
ETHEM EFENDİ CAD ÜZERİNDE BALKONLU SATILIK 3+1 DAİRE!!;Erenköy;4.295.000;100;140;3+1;3;1;2;31
DİNAMİK'TEN FENERBAHÇE SAHİLDE YENİ BİNADA EBEVEYNLİ 150M2 SATIL;Fenerbahçe;7.950.000;120;150;3+1;3;1;2;32
CİTY DEN FENERBAHÇE DALYAN DA SAHİLE 100mt MESAFEDE SÜPER DAİRE;Fenerbahçe;5.450.000;125;160;3+1;3;1;2;18
SUADİYE KATTA TEK BAĞDATA YAKIN 2 BALKONLU 240 M2 4+1;Suadiye;4.650.000;180;240;4+1;4;1;3;27
Fenerbahçe Dalyan Ordu Evine Parka Yakın Balkon Kapalı Otoparklı;Fenerbahçe;5.675.000;120;150;3+1;3;1;1;18
GÖZTEPE MARMARAY VE ÖZGÜRLÜĞE ADIM MESAFEDE 3 BALKONLU 168M2 3+1;Göztepe;3.700.000;120;168;3+1;3;1;2;25
GÖZTEPEDE BAĞDATA 5.BİNA;Göztepe;4.995.000;100;140;3+1;3;1;2;27
MERDİVENKÖY PARK MANZARALI ÖNU KAPANMAZ 3+1 GENİS KULLANIŞLI;Suadiye;3.100.000;120;165;3+1;3;1;2;36
SUADİYE'DE BAĞDATA YAKIN 9 YILLIK 380M2 4+2 TERASLI DENİZ MANZ.;Suadiye;12.850.000;300;380;4+1;4;1;3;31
WEN CADDE'DEN SUADİYE AYŞEÇAVUŞ CAD.4 YAŞINDA SATILIK 3+1;Suadiye;5.950.000;120;150;3+1;3;1;2;22
CİTYDEN..ERENKÖY ETHEMEFENDİYE KOMŞU 300M2 4+2 DUBLEKS;Erenköy;5.250.000;240;300;4+2;4;2;4;26
ACIBADEM CAD.ÜZERİ ŞAHANE DENİZ;Acıbadem;12.500.000;350;360;6+2;6;2;3;33
Kalamış Wyndham Otel Marina Yakın Konumda Balkonlu Daire;Fenerbahçe;4.500.000;115;155;3+1;3;1;1;22
Kalamış Wyndham Otel Karşı Sokağında Deniz Manzaralı Sıfır 4+1;Fenerbahçe;12.950.000;145;200;4+1;4;1;2;26
CİTY DEN CADDEBOSTAN DA SAHİLE KOMŞU NET 240m2 4+1;Caddebostan;5.950.000;240;340;4+1;4;1;2;32
GÖZTEPEDE  VATANDAŞLIĞA  UYGUN  SATILIK  DAİRE;Göztepe;3.250.000;93;125;3+1;3;1;2;13
CİTYDEN..ERENKÖY ETHEMEFENDİDE YENİ BİNA 295M2 3+2 DUBLEKS;Erenköy;4.250.000;230;295;3+2;3;2;2;18
Fenerbahçe Dalyan Deniz Manzaralı Yüzme Havuzu Güvenlik;Fenerbahçe;36.000.000;280;350;5+2;5;2;3;16
BAĞDAT CADDESİ'NDE BALKONLU;Bostancı;3.800.000;120;150;3+1;3;1;2;14
CİTY'DEN ETHEMEFENDİ CADDESİNDE 170M2 3+1 YENİ;Erenköy;3.950.000;130;170;3+1;3;1;2;10
GÖZTEPE MİNİBÜS CAD YAKIN 150 M2 KOMBİLİ FULL YAPILI;Merdivenköy;3.100.000;125;150;3+1;3;1;1;12
CADDEBOSTAN SAHİL DE YABANCI SATIŞA UYGUN NET 125 m2 SATILIK !!;Caddebostan;4.750.000;125;160;3+1;3;1;2;28
Kadıköy Rasimpaşa Bahçe Kat 2+1 Daire;Rasimpaşa;1.250.000;65;75;2+1;2;1;1;
REALTY WORLD Studio dan BAĞDAT CADDESİNDE OTOPARKLI (AÇIKLAMA!);Caddebostan;4.650.000;125;160;3+1;3;1;1;5
DİNAMİK'TEN FENERBAHÇE AYANOĞLU'NDA PRESTİJLİ BİNADA FIRSAT!;Fenerbahçe;4.400.000;120;150;3+1;3;1;1;23
ERENKÖY MARMARAYA YAKIN 155M2 BAKONLU ULTRA LÜKS;Erenköy;3.300.000;120;155;3+1;3;1;2;24
DİNAMİK'TEN ŞAŞKINBAKKAL SAHİLDE DENİZ MANZARALI 3+1 122 M2 NET;Suadiye;9.595.000;122;160;3+1;3;1;2;20
ACIBADEM CADDE ÜZERİ İYİ KONUM 4+1 230m²DUBLEX DAİRE;Acıbadem;7.380.000;220;230;4+1;4;1;2;
SUADİYE SAHİL SIFIR 110m2 MÜSTAKİL BAHÇELİ EBEVEYNLİ SATILIK 3+1;Suadiye;6.600.000;80;110;3+1;3;1;2;30
SUADİYE BAĞDAT-MİNİBÜS ARASI 101m2 SIFIR 9.KAT EBEVEYNLİ SATILIK;Suadiye;3.750.000;81;101;2+1;2;1;2;26
SUADİYE MİNİBÜS CAD.103m2 '0' DENİZ MANZARALI 13.KAT SATILIK 2+1;Suadiye;4.180.000;83;103;2+1;2;1;2;29
CADDEBOSTAN SAHİLDE 240m2 DEPREM SONRASI MANZARALI SATILIK 6+1;Caddebostan;8.000.000;190;240;6+1;6;1;3;31
DİNAMİK'TEN FENERYOLU'NDA SIFIR BİR EŞİ DAHA YOK!;Feneryolu;2.690.000;75;90;2+1;2;1;1;18
SUADİYE BAĞDATA YAKIN 125M2 BALKONLU ULTRA LÜKS;Suadiye;2.295.000;95;125;3+1;3;1;2;18
KADIKÖY SAHRAYICEDİT MAHALLESİN;Sahrayı Cedit;4.250.000;120;135;3+1;3;1;2;33
SUADİYE SAHİLDE 4 YILLIK 295M2 + 30M2 TERASLI LÜKS DUBLEKS;Suadiye;11.900.000;250;295;4+2;4;2;3;25
DİNAMİK'TEN BAĞDAT CADDESİ ÜZERİNDE 3+1;Zühtüpaşa;2.950.000;95;125;3+1;3;1;1;17
ACIBADEM EKŞİLER SİTESİNDE ÇOK İYİ KONUM 3+1 145m² YÜKSEK GİRİŞ;Acıbadem;3.900.000;135;145;3+1;3;1;2;20
DİNAMİK'TEN  ERENKÖYDE CADDEYE 6DK BALKONLU 110m2 FIRSAT;Erenköy;3.550.000;90;110;3+1;3;1;2;16
FENERBAHÇE'DE SİTE ÖZELLİKLİ 2+1 BAHÇE CEPHELİ TERS DUBLEKS;Fenerbahçe;3.350.000;92;123;2+1;2;1;2;14
FENERBAHÇE'DE 8 YILLIK YENİ 155M2 GÜVENLİKLİ LÜKS;Fenerbahçe;7.950.000;125;155;3+1;3;1;2;13
Dinamik'ten Merdivenköy'de Minibüse Yakın Balkonlu 3+1;Merdivenköy;1.850.000;90;125;3+1;3;1;2;
TURYAP'TAN ALTOWER RESİDENCE'DA 1+1 SATILIK DAİRE;Sahrayı Cedit;1.620.000;47;75;1+1;1;1;1;6
Dinamik'ten GÖZTEPE TANZİMAT ÜZERİNDE 3+1 YENİ BİNADA;Göztepe;4.450.000;93;130;3+1;3;1;2;30
WEN CADDE CADDEBOSTAN SAHİLDE FERAH FIRSAT DUBLEKS 4+1 DAİRE;Caddebostan;7.250.000;240;280;4+1;4;1;3;25
Fenerbahçe Dalyan Kulüp Ordu Evi Yakın Satılık 3+1 Daire;Fenerbahçe;6.800.000;100;130;3+1;3;1;2;16
WEN CADDE İNÖNÜ CADDESİNDE 1 YAŞINDA FIRSAT SATILIK 3+1 DUBLEKS;Sahrayı Cedit;3.650.000;165;210;4+1;4;1;2;24
Fenerbahçe Kalamış Deniz Marina Doğa Manzaralı 3+1 Satılık;Fenerbahçe;13.800.000;122;160;3+1;3;1;2;19
19 MAYIS MAH. MİNİBÜS CAD YAKINI GÜNEYDOĞU CEPHE FERAH 2+1 DAİRE;19 Mayıs;3.245.000;80;105;2+1;2;1;1;18
SUADİYE ÇOLAKİSMAİLDE DENİZ MANZARALI 4+1 180M2 NET DUBLEKS;Suadiye;6.550.000;180;220;4+1;4;1;3;31
ÇOK MERKEZİ KONUMDA SIFIR BİNADA EBEVEYN BANYOLU 4+1 DAİRE;19 Mayıs;4.950.000;130;165;4+1;4;1;2;28
Suadiye Ayşe Çavuş Ön Cephe Balkonlu Ara Kat Yeni 3+1;Suadiye;4.350.000;100;135;3+1;3;1;1;22
GÖZTEPE BAĞDATA YAKIN 9 YILLIK 150M2 GÜVENLİKLİ Y. HAVUZLU LÜKS;Göztepe;5.500.000;115;155;3+1;3;1;2;26
ERENKÖY'DE BAĞDATA YAKIN 3 YILLIK 235M2 TERASLI DUBLEKS;Erenköy;9.250.000;195;235;3+2;3;2;2;30
SUADİYE'DE 4 YILLIK 240M2 ÇİFT TERASLI LÜKS DUBLEKS;Suadiye;4.985.000;180;240;4+2;4;2;2;25
Fenerbahçe'de Satılık Balkonlu 4+1 Daire;Fenerbahçe;8.750.000;156;200;4+1;4;1;2;21
Fenerbahçe Marina - Cafe Yakın 3+1 Sıfır Daire;Fenerbahçe;5.250.000;117;150;3+1;3;1;2;22
Kalamış Wyndham Otel Marinaya Yakın 4;Fenerbahçe;14.000.000;200;240;4+1;4;1;1;26
SUADİYE'DE 3 YILLIK 135M2 EBEVEYN BANYOLU LÜKS;Suadiye;4.175.000;96;135;3+1;3;1;2;19
BAYAR CAD ÜSTÜ KULLANIŞLI NET 80 M2 KOMBİLİ 2+1 DAİRE;19 Mayıs;2.750.000;80;100;2+1;2;1;1;15
DİNAMİK EMLAK'TAN CADEBOSTAN'DA DENİZ MANZARALI 5+2;Caddebostan;13.550.000;265;320;5+2;5;2;4;31
KOZYATAĞINDA MİNİBÜS / E5 ARASI 2 YAŞINDA 3+1 145 M2 İSKANLI;Kozyatağı;3.520.000;120;140;3+1;3;1;2;29
F.BAHÇE MARİNADA 155M2  LEBİDERYA BALKONLU GÜVENLİKLİ;Fenerbahçe;10.000.000;120;155;3+1;3;1;2;12
Göztepe'de yeni binada;Merdivenköy;2.950.000;85;100;3+1;3;1;2;8
HASANPAŞA'DA SATILIK 2+1 DAİRE;Hasanpaşa;950.000;80;100;2+1;2;1;1;26
Kalamış Wyndham Otel Marinaya Yakın 4;Fenerbahçe;14.000.000;200;240;4+1;4;1;1;26
ŞAŞKINBAKKAL SAHİLDE 150 M2 KATTA TEK SIFIR SATILIK DAİRE!!;Caddebostan;6.750.000;117;150;3+1;3;1;2;9
Çiftehavuzlar Sahil Güvenlikli Balkonlu Satılık 4+1 Daire;Fenerbahçe;5.250.000;155;210;4+1;4;1;1;27
Fenerbahçe Ordu Evi Caddesi Kahve Dünyası Yakın Dubleks Sıfır;Fenerbahçe;5.500.000;134;170;5+1;5;1;2;26
Caddebostan Bağdat Caddesi 1. Paralel Sokak 500 m2 Daire 8+2;Caddebostan;15.000.000;375;500;8+2;8;2;5;30
DİNÇEM'DEN KADIKÖY ŞAŞKINBAKKAL' DA 3+1 YENİ BİNA SATILIK DAİRE;Suadiye;3.795.000;85;110;3+1;3;1;1;21
DİNÇEM'DEN KADIKÖY SUADİYE'DE SAHİL PARSELİNDE 35 M² SALON 3+1;Suadiye;3.750.000;130;160;3+1;3;1;2;21
KADIKÖY ERENKÖY BAĞDAT TREN ARASI 4+1 BALKONLU 45 M² SALON;Erenköy;3.295.000;155;185;3+1;3;1;2;22
GÖZTEPE'DE 5 YILLIK İSKANLI 220M2 Y.HAVUZLU TERASLI DUBLEKS;Göztepe;5.675.000;160;220;3+1;3;1;2;19
DİNAMİK'TEN ÇİFTEHAVUZLAR'DA BAĞDATA ÇOK YAKIN PARK MANZARALI;Göztepe;3.500.000;75;95;2+1;2;1;2;21
CİTY'DEN TÜTÜNCÜ MEHMET EFEDİ CAD. CADDEYE YAKIN GENÇ BİNA 3+1;Göztepe;4.350.000;105;140;3+1;3;1;2;16
bağdat caddesi ömer paşa da katta tek şömineli daire;Erenköy;2.625.000;130;160;3+1;3;1;2;12
ALFA'DAN KADIKÖY 1071 'DE 24. KATTA ACİL 4+1 DAİRE;Fikirtepe;3.200.000;164;250;0  TL  (aylık);0; ;0  TL  (aylık);25
BEGÜMDEN BAĞDATA 2. BİNA FUL DENİZ MANZARALI MEGA LÜX.;Bostancı;4.650.000;160;180;3+1;3;1;2;30
ALFA'DAN HALDIZ OBAKÖY PROJESİNDE 16 . KATTA 2+1 ACİLL;Dumlupınar;750.000;56;83;0  TL  (aylık);0; ;0  TL  (aylık);17
ERENKÖY ETHEMEFENDİ CADDESİNE ÇOK YAKIN İSKANLI FULL YENİLENMİŞ;Erenköy;5.750.000;125;150;3+1;3;1;2;31
SUADİYE BAĞDATA YAKIN 210M2 2 BALKONLU KATTA TEK ULTRA LÜKS;Suadiye;4.650.000;180;210;4+1;4;1;3;22
GÖZTEPE ŞAİR ARŞİ CADDESİNDE YENİ BİNADA EBEVEYNLİ 130 M2 3+1;Merdivenköy;3.140.000;100;130;3+1;3;1;2;20
ERENKÖY BAĞDATA YÜRÜME MESAFESİNDE YENİ 150M2 ULTRA LÜKS;Erenköy;5.750.000;115;150;3+1;3;1;2;33
ALFA'DAN TEKNİK YAPI UP-LİFE 'DA 2+1 DAİRE SATILIK DAİRE;Dumlupınar;850.000;55;87;0  TL  (aylık);0; ;0  TL  (aylık);14
ALFA'DAN KADIKÖY TORKAM 'DA 96 m BÜYÜK 1+1 DAİRE;Dumlupınar;1.000.000;68;96;0  TL  (aylık);0; ;0  TL  (aylık);14
F.BAHÇE BAĞDAT CADDESİNDE 185M2 BALKONLU ULTRA LÜKS;Fenerbahçe;5.950.000;150;190;4+1;4;1;2;27
göztepeTren-Bağdat Arası 3+1 Balkonlu Asansör+Otoparklı;Göztepe;2.865.000;110;145;3+1;3;1;1;17
GÖZTEPEDE 3+1 BALKONLU EBEVEYNLİ SIFIR KAPALI GARAJL;Göztepe;3.650.000;94;125;3+1;3;1;2;30
ERENKÖY BAĞDATA YAKIN SIFIR 155M2 BALKONLU ULTRA LÜKS;Erenköy;7.400.000;120;155;3+1;3;1;2;26
Fenerbahçe Kahve Dünyası Sütişe Yakın Katta Tek 4+1 Satılık;Fenerbahçe;12.000.000;175;235;4+1;4;1;2;25
Şaşkınbakkalda Bağdat Caddesine Yakın 3+1 Yenilenmiş Daire;Suadiye;2.995.000;100;135;3+1;3;1;2;25
ALFA'DAN ÖZEL GÖZTEPE HASTANESİ SOKAĞINDA İÇİ YAPILI 3+1;Merdivenköy;1.200.000;120;130;100  TL  (aylık);1;0;0  TL  (aylık);9
Çiftehavuzlar Tepegöz Sokak'ta Özgürlük Parkına Marmaray Yakın;Göztepe;11.500.000;256;365;5+2;5;2;3;28
A+ SATILIK MUHTEŞEM DAİRE RAGIP PAŞA KORUSU SİTESİNDE FIRSAT;Caddebostan;33.000.000;310;416;7+2;7;2;4;36
ELYSIUM ELIT KOŞUYOLU SATILIK 3.5+1 RESIDENCE DAİRE;Acıbadem;7.500.000;123;139;3+1;3;1;2;26
3+1 VEYA 4+1 FARKLI FİYATLARDA RESIDENCE;Erenköy;18.150.000;160;210;4+1;4;1;2;26
BOSTANCIDA FUL DENİZ MANZARALI 135M2 NET 3+1;Bostancı;4.650.000;135;160;3+1;3;1;2;30
KAZASKER DE MİNÜBÜS CAD. ÜZERİNDE 3+1 100M2 NET YENİ BİNA;19 Mayıs;3.940.000;100;130;3+1;3;1;2;30
SUADİYEDE 170M2 NET 4+2 ÇİFT TERASLI DUBLEKS DAİRE;Suadiye;4.895.000;170;240;4+2;4;2;3;30
GÖSTEPEDE BAĞDAT CAD. VE TREN İSTASYONU ARASINDA 100M2 NET 3+1;Göztepe;4.350.000;100;130;3+1;3;1;1;27
ERENKÖYDE 100M2 NET 3+1 YENİLENMİŞ DAİRE;Erenköy;2.900.000;100;130;3+1;3;1;1;30
ALFA'DAN EĞİTİM MAHALLESİNDE ACİL SATILIK 3+1 DAİRE;Eğitim;700.000;115;125;0  TL  (aylık);0; ;0  TL  (aylık);8
Şaşkınbakkal Caddeye 2. Bina Konumda Kapalı Otoparklı;Suadiye;4.395.000;110;145;3+1;3;1;2;20
ALFA'DAN KADIKÖY -1071 'DE 250 m 4+1 REZİDANS DAİRE;Fikirtepe;3.200.000;165;250;700  TL  (aylık);7;0;0  TL  (aylık);7
Göztepe Minibüs Caddesi Balkon 3+1 Satılık Daire;Göztepe;2.100.000;120;155;3+1;3;1;1;17
HALİTAĞA CADDESİ'NDE 100M2 SATILIK TERAS KAT DAİRE;Osmanağa;975.000;100;110;2+1;2;1;1;12
Ç.HAVUZLAR BAĞDATA ÇOK YAKIN SIFIR 330M2 ÇİFT RERASLI MANZARLI D;Göztepe;9.500.000;235;330;5+2;5;2;4;14
SAHRAYİCEDİD;Merdivenköy;2.100.000;75;105;2+1;2;1;2;14
SUADİYE SAHİLDE SIFIR 210M2 DENİZ MANZARALI BALKONLU KATTA TEK;Suadiye;14.800.000;150;210;4+1;4;1;3;11
Kızıltoprak Metrobüse Maramraya Yürüme Mesafesinde Satılık;Zühtüpaşa;2.500.000;130;170;3+1;3;1;1;10
ALFA'DAN KADIKÖYÜN DEV PROJESİ ŞUA ELİTE CONCEPT'TE 1+1;Fikirtepe;885.000;52;77;400  TL  (aylık);4;0;0  TL  (aylık);
DİNAMİKTEN SUADİYE'DE BALKONLU 135m2 3+1 SATILIK;Suadiye;2.775.000;100;135;3+1;3;1;2;34
SAHRAYICEDİD'DE;Merdivenköy;1.550.000;45;65;1+1;1;1;1;6
SUADİYE BAĞDATA YÜRÜME MESAFESİNDE 4 YILLIK İSKANLI 150M2 LÜKS;Suadiye;5.950.000;120;150;3+1;3;1;2;21
Fenerbahçe Kapanmaz Deniz Marina Manzaralı Balkonlu 3+1 Sıfır;Fenerbahçe;12.000.000;120;160;3+1;3;1;2;2
Fenerbahçe Kapanmaz Deniz Marina Manzaralı Balkonlu 4+1 Sıfır;Fenerbahçe;16.000.000;145;190;4+1;4;1;2;
BEGÜMDEN SUADİYE DE 140 M2 3+1 BALKONLU LÜKS YENİLENMİŞ;Suadiye;3.595.000;110;140;3+1;3;1;1;31
Mayıs'da teslim projeden 3+1;Erenköy;3.300.000;85;110;3+1;3;1;2;
