İLAN ADI;MAHALLE;FİYAT;NET(m²);BRÜT(m²);ODA-SALON SAYISI;ODA SAYISI;SALON SAYISI;BANYO SAYISI;FOTOĞRAF SAYISI
CİTY DEN SUADİYE DE KONUTA İŞ YERİNE UYGUN FULL YAPILI 140m2 2+1;Suadiye;2.495.000;100;140;2+1;2;1;2;20
DİNAMİK'TEN TERASLI SIFIR C.BOSTAN SAHİLDE 70M2 NET 2+1 EBEVEYNL;Caddebostan;4.475.000;70;95;2+1;2;1;2;30
SUADİYE BAĞDAT'A 1 DAK.SIFIR MANZARALI İSKANLI 270m2 SATILIK 5+1;Suadiye;12.500.000;240;270;5+1;5;1;3;31
Fenerbahçe Kalamış Wyndham Otel Yakın Deniz Manzaralı Satılık;Fenerbahçe;6.500.000;100;135;3+1;3;1;2;24
MERDİVENKÖY PRESTİJLİ RESİDANCE YENİ BİNADA BALKONLU 175M2 3+1;Merdivenköy;3.200.000;128;175;3+1;3;1;2;21
CİTY DEN CADDEBOSTAN DA TEK TAPUDA İKİ SÜPER DAİRE 490m2 8+2;Caddebostan;13.800.000;355;490;8+2;8;2;5;36
CİTY TEK YETKİLİ 10 YILLIK KOZYATAĞI KOZZY YE KOMŞU 200m2 4+1;19 Mayıs;5.950.000;150;200;4+1;4;1;3;30
BEGÜMDEN Erenköy Çoban Yıldızında 130 m2 3+1 Balkonlu YATIRIMLIK;Erenköy;2.950.000;100;130;3+1;3;1;2;14
BEGÜMDEN FENERYOLU'NDA KOMPLE YAPILI BALKONLU EBV.BANY.4+1 225m2;Feneryolu;4.995.000;185;225;4+1;4;1;3;13
GÖZTEPE MİNİBÜS PARALELİ PARK MANZARALI BALKONLU  YENİ 126M2 3+1;Merdivenköy;3.250.000;90;126;3+1;3;1;2;10
KADIKÖY SUADIYE de süper LOKOSYONDA 3+1 150 m LUKS DAIRE;Suadiye;3.650.000;110;150;3+1;3;1;2;16
FIRSAT GENİŞ DAİRE ARAYANLAR KADIKÖY SUADİYE 3+1 150 m² SATILIK;Suadiye;3.650.000;108;150;3+1;3;1;2;16
Dinamik'ten Merdivenköy'de %80 Yeşil Alana Sahip Geniş 3+1;Merdivenköy;3.500.000;106;140;3+1;3;1;2;20
BEGÜMDEN SUADİYE AYŞEÇAVUŞTA GENİŞ 2+1 110M2 BALKONLU YATIRIMLIK;Suadiye;1.950.000;110;120;2+1;2;1;1;22
Kalamış Marinaya Yakın Güvenlikli Binada Satılık 4+1 Daire;Fenerbahçe;10.500.000;146;200;4+1;4;1;2;26
BEGÜMDEN BOSTANCI 24 SAAT GÜVENLİKLİ YÜZME HAVUZLU 2001 YAPIMI;Bostancı;3.395.000;150;170;3+1;3;1;2;7
BEGÜMDEN SÜPER YATIRIMLIK ŞAŞKINBAKKAL TONOZLU SK DA 3+1 120M2;Suadiye;2.995.000;100;120;3+1;3;1;1;2
C.BOSTAN BAĞDATA YAKIN 4 YILLIK 140M2 BALKONLU KATTA TEK LÜKS;Caddebostan;4.895.000;110;140;3+1;3;1;2;20
ŞAİR ARŞİ CADDESİ DİNAMİK'TEN 3+1 SATILIK LÜKS DAİRE;Merdivenköy;3.140.000;100;130;3+1;3;1;2;27
BEGÜMDEN SELAMİÇEŞME SAHİLDE 2+1 90M2 BALKONLU İSKANLI;Fenerbahçe;2.995.000;75;90;2+1;2;1;1;5
FENERYOLU'NDA MİNİBÜSE YAKIN 150M2 BALKONLU ULTRA LÜKS;Feneryolu;3.200.000;115;150;3+1;3;1;2;27
CİTY DEN ERENKÖY DE BAKIMLI BİNADA 200m2 4+1 DAİREMİZ;Erenköy;4.495.000;145;200;4+1;4;1;3;23
GÖZTEPE BAĞDATA YÜRÜME MESAFESİNDE 3 YILLIK 130M2 BALKONLU LÜKS;Göztepe;4.650.000;95;130;3+1;3;1;1;26
Dinamik'ten Caddebostan Sahil'de Kısmi Deniz Manzaralı 3+1;Caddebostan;5.750.000;95;130;3+1;3;1;2;27
Ç.HAVUZLAR BAĞDATA YAKIN 4 YILLIK DENİZ MANZARALI TERASLI;Göztepe;4.000.000;115;150;2+1;2;1;1;15
CİTY'DEN KOZYATAĞINDA MİNİBÜSE YAKIN BALKONLU YENİBİNA 3+1;Kozyatağı;3.500.000;86;115;3+1;3;1;1;19
CİTY DEN GÖZTEPE DE GÜVENLİKLİ HAVUZLU BİNADA 150m2 3+1;Göztepe;5.750.000;115;155;3+1;3;1;2;24
CİTY DEN CADDE BOSTAN MİGROSA KOMŞU SIFIR 130m2 3+1;Caddebostan;5.750.000;90;120;3+1;3;1;2;25
CİTY DEN GÖZTEPE DE BAĞDAT CADDESİNE YAKIN 140m2 3+1;Göztepe;4.400.000;100;140;3+1;3;1;1;22
C.BOSTAN SAHİLDE SIFIR 90M2 + 70M2 TERAS İŞYERİNE KONUTA MART TE;Caddebostan;4.190.000;70;90;2+1;2;1;2;13
KOZYATAĞINDA METRO İSTASYONUNA VE KOZZY AVM YE YAKINI 3+1 DAİRE;Kozyatağı;1.780.000;100;130;3+1;3;1;1;15
CİTY DEN FENERBAHÇE DE BAĞDAT CADDESİNE KOMŞU 2+1 GİRİŞ KATI;Fenerbahçe;2.995.000;75;95;2+1;2;1;1;18
ERENKÖY ETHEMEFENDİ'YE YAKIN 5 YILLIK 125M2 ULTRA LÜKS;Erenköy;3.975.000;95;125;3+1;3;1;2;14
CADDEBOSTAN'DA 4+1 TERASLI ŞÖMİNELİ LÜKS DUBLEKS;Caddebostan;6.500.000;240;280;4+1;4;1;4;36
ANKA'DAN YETKİLİ SUADİYE'DE CADDEYE YAKIN 290 M2 İSKANLI DUBLEX;Suadiye;7.200.000;220;290;5+2;5;2;3;31
