İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI
Caddebostan Geniş Balkonlu Çocuk Oyun Parkı 3+1 Satılık,13,5195000,118,145,3+1,3,1,2,14
ERENKÖY BAĞDATA YAKIN 3 YILLIK 130M2 İSKANLI LÜKS,8,4250000,90,130,3+1,3,1,2,12
CADDEBOSTAN SAHİLDE TERASLI 300m2 DUBLEKS,5,14300000,230,300,4+2,4,2,4,31
KAZASKER DE 3+1/130M2 DENİZ MANZARALI DAİRE( vatandaşlığa uygun,20,4500000,95,130,3+1,3,1,2,30
BEGÜMDEN SUADİYE KAPTANARİF'DE 4 YILLIK İSKANLI 4+2 ÇİFT TERASLI,20,4895000,175,240,4+2,4,2,2,27
KOZYATAĞINDA PRESTİJLİ BİNADA 4+1 170m2 DUBLEKS DAİRE,15,2750000,150,170,4+1,4,1,2,29
CADDEBOSTAN BAĞDAT'A 2. BİNADA 4+1 KATTA TEK SATILIK DAİRE,5,15500000,355,490,4+1,4,1,3,28
Bostancı Ali Nihat Tarlan Cad. E.Banyolu,4,3695000,95,130,3+1,3,1,2,24
SUADİYE'DE 2 YILLIK İSKANLI TERASLI DUBLEKS 4+2 230m2,20,7500000,180,230,4+2,4,2,3,29
SUADİYE / 4 SENELİK BİNADA BALKONLU İSKANLI(3+1),20,4350000,100,135,3+1,3,1,1,22
ERENKÖY ETHEMEFENDİ'YE YAKIN ULTRA LÜX 125M2 3+1,8,3975000,95,125,3+1,3,1,2,22
SUADİYE'DE KOMPLE YAPILI GENİŞ BALKONLU FERAH 3+1 140m2,20,3985000,108,140,3+1,3,1,1,23
SUADİYEDE İSKANLI BALKONLU 3+1 133m2 FERAH,20,4170000,97,135,3+1,3,1,2,31
Göztepe Marmaraya 500m. E.Banyolu Ön Cephe Ara Kat 70m2 Net 2+1,16,2950000,70,95,2+1,2,1,2,24
SUADİYEDE 3+1 100NET BALKONLU EBEVEYNLİ,20,3825000,100,130,3+1,3,1,2,28
BEGÜMDEN GÖZTE  2001 Çelik inşaat Yapımı 125 m2  3+1 Balkonlu,13,3995000,125,165,3+1,3,1,2,11
BOSTANCI MARMARAYA 2-3 DAKİKA MESAFEDE GENÇ VE PRESTİJLİ.,4,3250000,130,160,3+1,3,1,2,31
FENERYOLU'NDA 115m2 net 3+1 2 BALKONLU MİSAFİR WC'Lİ !!,11,3200000,115,150,3+1,3,1,2,33
SUADİYE AYŞE CAVUŞ CAD.BALKONLU GENİŞ 3+1,20,2350000,100,125,3+1,3,1,1,30
BEGÜMDEN MARMARA ÜNİVERSİTESİNE YAKIN 3+2 İSKANLI DUBLEKS,9,3575000,150,185,3+2,3,2,2,31
CADDEBOSTAN SAHİLDE TERASLI 390m2 DUBLEKS,5,17750000,290,390,5+2,5,2,4,18
