İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI
GÖZTEPE'DE,9,1550000,110,140,3+1,3,1,2,15
ERENKÖYDE ETHEMEFENDİ CAD'SİNE KOMŞU,8,5250000,170,238,5+1,5,1,3,11
MERDİVENKÖYDE MİNİBÜS CD'SİNE YAKIN,16,2350000,75,105,2+1,2,1,1,3
BAYAR CADDESİ ÜZERİNDE MUHTEŞEM KORU MANZARALI,2,4700000,100,130,3+1,3,1,2,32
ARTVİN EMLAK'TAN CADDEBOSTAN SEVGİLİ LOFT TA 2+1 88M2 NET FERAH,8,4750000,88,110,2+1,2,1,2,11
FİKİRTEPEDE OTURMAYA HAZIR,12,1575000,47,65,1+1,1,1,1,6
GÖZTEPE'DE,16,2350000,73,102,2+1,2,1,2,10
ARTVİN EMLAKTAN SATILIK 3+1 SIFIR DAİRE HAZIRAN SONU TESLİM,19,1450000,90,105,3+1,3,1,2,3
BAĞDAT CAD  CADDEBOSTAN'DA SATILIK BALKONLU 4+1 DAİRE,5,9000000,145,185,4+1,4,1,2,9
SUADİYE CAMİ SOKAKTA YABANCI SATIŞA UYGUN SATILIK DAİRE!!,20,3150000,93,100,3+1,3,1,1,22
ERENKÖY'DE GELECEĞİNİZE YATIRIM YAPIN,8,7200000,140,160,3+1,3,1,1,23
SAHRAYICEDİT DE YATIRIMLIK 2+1 DAİRE,19,1150000,75,90,2+1,2,1,1,8
Moda Burnunda sıfır köşe daire Moda Deniz Klübüne çok yakın,6,4200000,85,100,1+1,1,1,1,24
CADDEBOSTAN SAHİLE ÇOK YAKIN 3+1 YENİ DAİRE,5,5750000,95,135,3+1,3,1,2,24
FENERBAHÇE BAĞDAT ÜZERİ MÜKEMMEL KONUMDA YENİLENMİŞ 210M2 4+1,11,5250000,150,210,4+1,4,1,2,28
GÖZTEPE'DE,16,3300000,100,140,3+1,3,1,2,1
ERENKÖYDE 90M2 NET 3+1 EBEVEYN BANYOLU İÇİ YENİLENMİŞ,8,3975000,95,125,3+1,3,1,2,27
SUADİYE DE İÇİ TAMAMEN YENİLENMİŞ 3+1 110M2 NET,20,3985000,110,140,3+1,3,1,1,18
MERDİVENKÖY DE PARK MANZARALI 3+1 NET 120M2 SATILIK DAİRE,13,3100000,120,150,3+1,3,1,1,30
Erenköy'de Bakımlı,8,5250000,285,340,5+2,5,2,3,33
ÇATALÇEŞME BAĞDATA ÇOK YAKIN SIFIR 165M2 KAPANMAZ LEBİDERYA,4,9500000,120,165,3+1,3,1,2,22
ERENKÖY BAĞDAT CADDESİ YAKIN 3+1 SATILIK DAİRE,8,3900000,90,130,3+1,3,1,2,25
CİTY'DEN GÖZTEPE RIDVANPAŞA'DA İSKANLI 300M2 SIFIR 5+2,13,4250000,250,300,5+2,5,2,4,24
FULL DENİZ GÖREN NET 350M2 5+2 SÜPER LÜKS DAİRE,20,13650000,350,400,5+2,5,2,5,31
KADIKÖY GÖZTEPE KONUTLARINDA MÜKEMMEL LÜKS SATILIK DAİRE,13,6750000,220,225,4+1,4,1,3,20
ACIBADEM EKŞİLER SİTESİNDE ÇOK İYİ KONUM 3+1 145m² YÜKSEK GİRİŞ,3,3900000,135,145,3+1,3,1,2,20
CADDEBOSTAN BAĞDAT'A ÜÇÜNCÜ APARTMAN 3+1,5,9900000,120,168,3+1,3,1,2,18
Suadiye'de Balkonlu 4.5+1 Satılık Daire,20,6600000,200,240,4+1,4,1,2,12
MODA CADDESİ ÜZERİNDE FERAH KÖŞE KONUMLU SATILIK DAİRE,6,2750000,108,130,3+1,3,1,1,11
BAĞDAT CADDESİ ÜZERİNDE TABELA REKLAM DEĞERİ YÜKSEK DAİRE,5,6750000,130,154,3+1,3,1,1,15
MTS PRIME EMLAK-2017 YILI YAPIMI İSKANLI BİNA,8,3975000,95,125,3+1,3,1,2,12
Suadiye Yeni Bina 3+1,20,4450000,105,135,3+1,3,1,2,13
Fenerbahçe Kalamış Wyndham Otel Yakın Deniz ve Doğa Manzaralı,10,7900000,122,167,3+1,3,1,2,21
FENERBAHÇE BAĞDAT ÜZERİ SİTE İÇİ YATIRIMLIK BALKONLU 140M2 3+1,21,2430000,100,140,3+1,3,1,1,10
GÖZTEPE BAĞDAT CAD.YÜRÜME MESAFESİN DE SATILIK 4+1 DAİRE!!,13,4250000,130,165,3+1,3,1,3,29
MANDIRA CADDESİNE KOMŞU MİNİBÜSE YAKIN İNŞAATTAN 120M2 3+1,12,2000000,85,120,3+1,3,1,1,4
SUADİYEDE 2+1 MARMARAY YAKIN FİRSAT DAİRESİ,20,1950000,90,110,2+1,2,1,1,14
Dinamik'ten Feneryolun'da 240m2 4+2 Teraslı Dublex,11,5000000,170,240,4+2,4,2,2,19
BOSTANCI SAHİLDE,4,5250000,118,150,3+1,3,1,2,28
C.BOSTAN BAĞDAT'A 1 DAK.GÜÇLENDİRİLMİŞ BİNA 3.KAT SATILIK 3.5+1,5,6900000,120,145,3+1,3,1,1,31
Çamlık Parkı Komşusu Ön Cephe,10,2995000,70,90,2+1,2,1,1,29
Feneryolu Marmaraya 500m. E.Banyolu Balkonlu Geniş 3+1,11,3595000,120,161,3+1,3,1,2,27
Feneryolu Marmaraya 100m. E.Banyolu,11,4995000,161,200,4+1,4,1,2,33
Erenköy Marmaraya 500m. E.Banyolu,8,3975000,92,125,3+1,3,1,2,30
Suadiye Marmaraya 500m. Taşınmaya Hazır,20,3595000,80,105,2+1,2,1,1,28
ŞENESENEVLER ATILIM SİTESİNDE 140M² NET KISMİ DENİZ MAN.3+1,4,2500000,140,170,3+1,3,1,1,31
Fenerbahçe Kalamış Marina Deniz Manzaralı Satılık Sıfır Daire,10,12900000,153,180,3+1,3,1,2,24
Caddebostan C.K.M. Yakın Katta Tek 3+1 Satılık Daire,5,7595000,110,140,3+1,3,1,2,25
Çiftehavuzlar Özgürlük Parkına Yakın Teraslı Daire,13,4000000,123,165,2+1,2,1,2,25
Feneryolu Özgürk Parkı Marmaray İstasyonuna Yakın 4+1 Satılık,11,4995000,164,220,4+1,4,1,1,27
Feneryolu Marmara Üniversitesi Yakın Masrafsız Satılık,11,3200000,120,150,3+1,3,1,1,22
DEPREM SONRASI YAPIMI 3+1 140M2 NET YÜZME HAVUZLU,4,3395000,140,160,3+1,3,1,2,29
ERENKÖYDE MARMARAY VE BAĞDAT CADDESİ ARASINDA SIFIR 3+1 SATILIK,8,4500000,102,123,3+1,3,1,2,16
MTS PRIME EMLAK / LEBİDERYA DENİZ MANZARALI,10,6800000,116,150,3+1,3,1,2,24
ÜÇEL 8 YILLIK DEPREM YÖNETMELİKLİ BOSTANCI SAHİL YAKIN 85M2 2+1!,4,2300000,70,85,2+1,2,1,1,19
Caddebostan Taşmektep Sokak Satılık Katta Tek Daire,13,4895000,110,140,3+1,3,1,2,15
ŞAŞKINBAKKAL'DA 250m2 DEPREM RAPORLU BALKONLU 8.KAT SATILIK 5+1,20,5000000,220,250,5+1,5,1,2,29
F.BAHÇE'DE 3 YILLIK 350M2 6+2 TERASLI DUBLEKS,10,9950000,300,350,6+2,6,2,4,32
CİTY DEN SUADİYE DE DİLLERE DESTAN 380m2 4+2 DUBLEX DAİREMİZ,20,11450000,270,380,4+2,4,2,3,32
19 MAYIS MAHALLESİ 3+1 BALKONLU DENİZ MANZARALI,2,2200000,103,125,3+1,3,1,1,11
KADIKÖY MERKEZDE GENİŞ KULLANIŞLI 4+1 SATILIK DAİRE,9,2800000,120,150,4+1,4,1,1,16
Fenerbahçe Dalyan Yüzme Havuzu Güvenlik Sıfır Daire,10,4500000,118,150,3+1,3,1,2,13
Suadiye Bağdat Caddesine Yakın Masrafsız Satılık Daire,20,4275000,112,145,3+1,3,1,2,22
Caddebostan Yüzme Havuzlu Güvenlikli Masrafsız Satılık,5,5750000,115,145,3+1,3,1,2,17
MTS PRIME EMLAK-SAHİLDE-YENİ BİNA-İŞYERİNE KONUTA,5,5750000,90,125,3+1,3,1,2,5
Fenerbahçe 2 Balkonlu Güney Cepheli Satılık 3+1 Daire,10,4400000,120,150,3+1,3,1,1,23
SUADİYE MİNİBÜSE YAKIN 3 YILLIK YÜZME HAVUZLU MANZARALI,20,4550000,95,130,3+1,3,1,2,24
GÖZTEPE PARK MANZARALI MİNİBÜSE 2.BİNA BALKONLU 168M2 3+1,16,3100000,120,168,3+1,3,1,2,26
KADIKÖY ADALAR MANZARALI LÜKS DAİRE,20,4490000,130,150,3+1,3,1,2,14
BEGÜMDEN CADDEBOSTAN TANZİMATTA YENİ BİNADA 4+1 ÖZEL DEKORLU,5,4795000,115,150,4+1,4,1,2,23
BEGÜMDEN FENERBAHÇE'DE 8 YILLIK 3+1 155M2 GÜVENLİKLİ LÜKS,10,7950000,125,155,3+1,3,1,2,25
BEGÜMDEN CADDEBOSTAN DA KATTA TEK BALKONLU 4 YILLIK 3+1,5,4895000,115,150,3+1,3,1,2,27
BEGÜMDE KAZASKER MİNÜBÜS CAD ÜZERİNDE 3+1 140m2 EBEVEYN BALKONLU,2,3750000,103,140,3+1,3,1,2,28
BEGÜMDEN BOSTANCIDA GENÇ BİNADA 3+1 150m2 ÖZEL DEKORLU LÜX,4,2300000,130,150,3+1,3,1,2,27
BEGÜMDEN BOSTANCI CADDE ÜZERİNDE 3+1 DEKORLU MARMARAYA 5.DAKİKA,4,2350000,140,155,3+1,3,1,2,30
BEGÜMDEN FENERYOLU'NDA 3+1 165M2 İÇİ ULTRA LÜKS YATIRIMLIK,11,3595000,115,160,3+1,3,1,2,29
BEGÜMDEN SUADİYE SAHİL 3+1 LEBİDERYA DENİZ MANZARALI BALKONLU,20,8595000,110,140,3+1,3,1,2,31
BEGÜMDEN FIRSAT BAĞDAT CAD YAKIN 175m2 4+1 2 BALKONLU EBEVEYNLİ,13,6000000,130,175,4+1,4,1,2,31
BEGÜM'DEN KALAMIŞDA İSKANLI GENİŞ Teraslı Dublex 305m2 Net 6+2,10,9950000,305,375,6+2,6,2,4,31
ACİL FENERYOLUNDA YENİ BİNADA 3+1 135M2 BALKONLU DAİRE,11,3650000,100,135,3+1,3,1,2,30
BEGÜMDEN CADDEBOSTAN PLAJ YOLUNDA BALKONLU 4+1 220M2 YAPILI,5,8900000,180,220,4+1,4,1,3,31
CİTY DEN ERENKÖY DE SAKİN YEŞİLLİKLER İÇİNDE 130m2 3+1,8,3975000,95,130,3+1,3,1,2,27
BEGÜMDEN ERENKÖY MARMARAY'A YAKIN 98M2 2+1 BALKONLU YENİLENMİŞ,8,2485000,80,98,2+1,2,1,2,20
CİTY DEN SUADİYE DE KONUTA İŞ YERİNE UYGUN FULL YAPILI 140m2 2+1,20,2495000,100,140,2+1,2,1,2,20
DİNAMİK'TEN TERASLI SIFIR C.BOSTAN SAHİLDE 70M2 NET 2+1 EBEVEYNL,5,4475000,70,95,2+1,2,1,2,30
SUADİYE BAĞDAT'A 1 DAK.SIFIR MANZARALI İSKANLI 270m2 SATILIK 5+1,20,12500000,240,270,5+1,5,1,3,31
Fenerbahçe Kalamış Wyndham Otel Yakın Deniz Manzaralı Satılık,10,6500000,100,135,3+1,3,1,2,24
MERDİVENKÖY PRESTİJLİ RESİDANCE YENİ BİNADA BALKONLU 175M2 3+1,16,3200000,128,175,3+1,3,1,2,21
CİTY DEN CADDEBOSTAN DA TEK TAPUDA İKİ SÜPER DAİRE 490m2 8+2,5,13800000,355,490,8+2,8,2,5,36
CİTY TEK YETKİLİ 10 YILLIK KOZYATAĞI KOZZY YE KOMŞU 200m2 4+1,2,5950000,150,200,4+1,4,1,3,30
BEGÜMDEN Erenköy Çoban Yıldızında 130 m2 3+1 Balkonlu YATIRIMLIK,8,2950000,100,130,3+1,3,1,2,14
BEGÜMDEN FENERYOLU'NDA KOMPLE YAPILI BALKONLU EBV.BANY.4+1 225m2,11,4995000,185,225,4+1,4,1,3,13
GÖZTEPE MİNİBÜS PARALELİ PARK MANZARALI BALKONLU  YENİ 126M2 3+1,16,3250000,90,126,3+1,3,1,2,10
KADIKÖY SUADIYE de süper LOKOSYONDA 3+1 150 m LUKS DAIRE,20,3650000,110,150,3+1,3,1,2,16
FIRSAT GENİŞ DAİRE ARAYANLAR KADIKÖY SUADİYE 3+1 150 m² SATILIK,20,3650000,108,150,3+1,3,1,2,16
Dinamik'ten Merdivenköy'de %80 Yeşil Alana Sahip Geniş 3+1,16,3500000,106,140,3+1,3,1,2,20
BEGÜMDEN SUADİYE AYŞEÇAVUŞTA GENİŞ 2+1 110M2 BALKONLU YATIRIMLIK,20,1950000,110,120,2+1,2,1,1,22
Kalamış Marinaya Yakın Güvenlikli Binada Satılık 4+1 Daire,10,10500000,146,200,4+1,4,1,2,26
BEGÜMDEN BOSTANCI 24 SAAT GÜVENLİKLİ YÜZME HAVUZLU 2001 YAPIMI,4,3395000,150,170,3+1,3,1,2,7
BEGÜMDEN SÜPER YATIRIMLIK ŞAŞKINBAKKAL TONOZLU SK DA 3+1 120M2,20,2995000,100,120,3+1,3,1,1,2
C.BOSTAN BAĞDATA YAKIN 4 YILLIK 140M2 BALKONLU KATTA TEK LÜKS,5,4895000,110,140,3+1,3,1,2,20
ŞAİR ARŞİ CADDESİ DİNAMİK'TEN 3+1 SATILIK LÜKS DAİRE,16,3140000,100,130,3+1,3,1,2,27
BEGÜMDEN SELAMİÇEŞME SAHİLDE 2+1 90M2 BALKONLU İSKANLI,10,2995000,75,90,2+1,2,1,1,5
FENERYOLU'NDA MİNİBÜSE YAKIN 150M2 BALKONLU ULTRA LÜKS,11,3200000,115,150,3+1,3,1,2,27
CİTY DEN ERENKÖY DE BAKIMLI BİNADA 200m2 4+1 DAİREMİZ,8,4495000,145,200,4+1,4,1,3,23
GÖZTEPE BAĞDATA YÜRÜME MESAFESİNDE 3 YILLIK 130M2 BALKONLU LÜKS,13,4650000,95,130,3+1,3,1,1,26
Dinamik'ten Caddebostan Sahil'de Kısmi Deniz Manzaralı 3+1,5,5750000,95,130,3+1,3,1,2,27
Ç.HAVUZLAR BAĞDATA YAKIN 4 YILLIK DENİZ MANZARALI TERASLI,13,4000000,115,150,2+1,2,1,1,15
CİTY'DEN KOZYATAĞINDA MİNİBÜSE YAKIN BALKONLU YENİBİNA 3+1,15,3500000,86,115,3+1,3,1,1,19
CİTY DEN GÖZTEPE DE GÜVENLİKLİ HAVUZLU BİNADA 150m2 3+1,13,5750000,115,155,3+1,3,1,2,24
CİTY DEN CADDE BOSTAN MİGROSA KOMŞU SIFIR 130m2 3+1,5,5750000,90,120,3+1,3,1,2,25
CİTY DEN GÖZTEPE DE BAĞDAT CADDESİNE YAKIN 140m2 3+1,13,4400000,100,140,3+1,3,1,1,22
C.BOSTAN SAHİLDE SIFIR 90M2 + 70M2 TERAS İŞYERİNE KONUTA MART TE,5,4190000,70,90,2+1,2,1,2,13
KOZYATAĞINDA METRO İSTASYONUNA VE KOZZY AVM YE YAKINI 3+1 DAİRE,15,1780000,100,130,3+1,3,1,1,15
CİTY DEN FENERBAHÇE DE BAĞDAT CADDESİNE KOMŞU 2+1 GİRİŞ KATI,10,2995000,75,95,2+1,2,1,1,18
ERENKÖY ETHEMEFENDİ'YE YAKIN 5 YILLIK 125M2 ULTRA LÜKS,8,3975000,95,125,3+1,3,1,2,14
CADDEBOSTAN'DA 4+1 TERASLI ŞÖMİNELİ LÜKS DUBLEKS,5,6500000,240,280,4+1,4,1,4,36
ANKA'DAN YETKİLİ SUADİYE'DE CADDEYE YAKIN 290 M2 İSKANLI DUBLEX,20,7200000,220,290,5+2,5,2,3,31
Caddebostan Bağdat Caddesi 1. Paralel 2 Araçlık Otopark 4+1,5,8500000,145,180,4+1,4,1,2,22
TURYAP TAN ORTABAHAR DA 3+1 SATILIK DAİRE,16,2750000,95,130,3+1,3,1,1,31
MTS PRIME EMLAK-ÖZGÜRLÜK PARKINA YAKIN-YENİLENMİŞ,11,4995000,195,235,4+1,4,1,3,13
Dinamik'ten Göztepe'de Güvenlik'li Havuzlu Geniş 3+1,13,5500000,115,145,3+1,3,1,2,31
Dinamik'ten Merdivenköy'de Minibüse 2.Bina Park Manzaralı 3+1,16,3100000,120,150,3+1,3,1,2,16
Göztepe'de Yeni,0,2750000,84,109,3+1,3,1,1,24
Suadiye'de Deniz Manzaralı Teraslı Dubleks Daire,20,6950000,180,225,4+2,4,2,3,26
Fenerbahçe Deniz - Marina ve Doğa Manzaralı Yüzme Havuzlu,10,43750000,420,550,4+2,4,2,4,5
KOZYATAĞI KOZZY KOMŞUSU SIFIR EBEVEYNLİ 135M2 3+1,15,4100000,96,135,3+1,3,1,2,21
SUADİYE BAĞDAT CADDESİNE 3.BİNADA SİTE ÖZELLİKLİ 210 M2 DAİRE,20,7000000,187,210,4+1,4,1,2,24
